Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,counterbalance-ao9d,Randomise questionnaire elements?,Question Key,Response
1,1615396413557,10/03/2021 17:13:33,1615396415125,9,11/03/2021 02:13:35,45332,3,questionnaire-9g37,,10831004,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Generic Consent,1,12,No,BEGIN QUESTIONNAIRE,
2,1615396420885,10/03/2021 17:13:40,1615396422021,9,11/03/2021 02:13:42,45332,3,questionnaire-9g37,,10831004,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Generic Consent,1,12,No,ConsentFlag,1
3,1615396421175,10/03/2021 17:13:41,1615396422025,9,11/03/2021 02:13:42,45332,3,questionnaire-9g37,,10831004,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Generic Consent,1,12,No,END QUESTIONNAIRE,6901
1,1615402545133,10/03/2021 18:55:45,1615402544910,5.5,11/03/2021 00:25:44,45332,3,questionnaire-9g37,,10836671,k095x2sv,3297378,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 88.0.4324.192,1280x800,1280x689,,Generic Consent,1,4,No,BEGIN QUESTIONNAIRE,
2,1615402558986,10/03/2021 18:55:58,1615402558862,5.5,11/03/2021 00:25:58,45332,3,questionnaire-9g37,,10836671,k095x2sv,3297378,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 88.0.4324.192,1280x800,1280x689,,Generic Consent,1,4,No,ConsentFlag,1
3,1615402559262,10/03/2021 18:55:59,1615402558863,5.5,11/03/2021 00:25:58,45332,3,questionnaire-9g37,,10836671,k095x2sv,3297378,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 88.0.4324.192,1280x800,1280x689,,Generic Consent,1,4,No,END QUESTIONNAIRE,13953
1,1615912041334,16/03/2021 16:27:21,1615912041218,-5,16/03/2021 11:27:21,45332,3,questionnaire-9g37,,11034848,0tlk3m5p,3356473,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x796,,Generic Consent,1,14,No,BEGIN QUESTIONNAIRE,
2,1615912053645,16/03/2021 16:27:33,1615912053584,-5,16/03/2021 11:27:33,45332,3,questionnaire-9g37,,11034848,0tlk3m5p,3356473,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x796,,Generic Consent,1,14,No,ConsentFlag,1
3,1615912053802,16/03/2021 16:27:33,1615912053586,-5,16/03/2021 11:27:33,45332,3,questionnaire-9g37,,11034848,0tlk3m5p,3356473,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x796,,Generic Consent,1,14,No,END QUESTIONNAIRE,12368
1,1616261388291,20/03/2021 17:29:48,1616261388121,-7,20/03/2021 10:29:48,45332,3,questionnaire-9g37,,11171437,ayi9vqd4,3405479,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 88.0.4324.192,1792x1120,1539x954,,Generic Consent,1,7,No,BEGIN QUESTIONNAIRE,
2,1616261398605,20/03/2021 17:29:58,1616261397855,-7,20/03/2021 10:29:57,45332,3,questionnaire-9g37,,11171437,ayi9vqd4,3405479,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 88.0.4324.192,1792x1120,1539x954,,Generic Consent,1,7,No,ConsentFlag,1
3,1616261398800,20/03/2021 17:29:58,1616261397857,-7,20/03/2021 10:29:57,45332,3,questionnaire-9g37,,11171437,ayi9vqd4,3405479,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 88.0.4324.192,1792x1120,1539x954,,Generic Consent,1,7,No,END QUESTIONNAIRE,9737
1,1616427260909,22/03/2021 15:34:20,1616427260775,-5,22/03/2021 10:34:20,45332,3,questionnaire-9g37,,11207863,v1tp7npg,3417216,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 89.0.4389.90,1440x900,1440x741,,Generic Consent,1,6,No,BEGIN QUESTIONNAIRE,
2,1616427424230,22/03/2021 15:37:04,1616427423820,-5,22/03/2021 10:37:03,45332,3,questionnaire-9g37,,11207863,v1tp7npg,3417216,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 89.0.4389.90,1440x900,1440x741,,Generic Consent,1,6,No,ConsentFlag,1
3,1616427424386,22/03/2021 15:37:04,1616427423823,-5,22/03/2021 10:37:03,45332,3,questionnaire-9g37,,11207863,v1tp7npg,3417216,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 89.0.4389.90,1440x900,1440x741,,Generic Consent,1,6,No,END QUESTIONNAIRE,163049
END OF FILE
