Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,branch-imu3,branch-8jxl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Response1,Response2,Response3,Response4,image1,training,intro1,intro2,intro3,train_conf1,green_tick,ANSWER1,next,go,cross_mark,ANSWER2,train_conf2,train_conf3,ANSWER3,train_conf4,ANSWER4,train_conf5,ANSWER5,didyouknow,definition,sampleimages,SAMguessed,visualization,question,test,ShowProgressBar,image0,black_arrow,black_arrow3,black_arrow4,black_arrow2,arrow_beam,answer,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,file_name,file_name1,file_name2,file_name3,file_name4,file_name5,file_name6,file_name7,file_name8,file_name9,file_name10,file_name11,file_name12,file_name13,file_name14,file_name15,didyouknow1,didyouknow2,didyouknow3,didyouknow4,didyouknow5,didyouknow6,didyouknow7,didyouknow8,didyouknow9,didyouknow10,didyouknow11,didyouknow12,didyouknow13,didyouknow14,didyouknow15,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,definition13,definition14,definition15,sampleimages1,sampleimages2,sampleimages3,sampleimages4,sampleimages5,sampleimages6,sampleimages7,sampleimages8,sampleimages9,sampleimages10,sampleimages11,sampleimages12,sampleimages13,sampleimages14,sampleimages15,SAMguessed1,SAMguessed2,SAMguessed3,SAMguessed4,SAMguessed5,SAMguessed6,SAMguessed7,SAMguessed8,SAMguessed9,SAMguessed10,SAMguessed11,SAMguessed12,SAMguessed13,SAMguessed14,SAMguessed15,visualization1,visualization2,visualization3,visualization4,visualization5,visualization6,visualization7,visualization8,visualization9,visualization10,visualization11,visualization12,visualization13,visualization14,visualization15,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15
41,1614749167842,03/03/2021 05:26:07,1614749167559,0,03/03/2021 05:26:07,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,9,5,3,Screen 3,Zone5,response_button_text,2564.825000001292,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen an **african grey** before?,"<h3 style=""text-align: center""> <strong>african grey</strong>: commonly domesticated grey parrot with red-and-black tail and white face</h3>",n01817953.jpeg,# Sam guessed this is **18% african grey**,n01817953_n03187595_14474_n03187595_18.jpeg,# Is this **african grey**?,,1,,,,,,,,,,,,,,,,,,,,,,,n01817953_n03187595_14474_n03187595_18.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1614749169140,03/03/2021 05:26:09,1614749168902,0,03/03/2021 05:26:08,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,10,6,1,Screen 1,buttonA,response_button_text,1324.270000000979,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen a **goldfish** before?,"<h3 style=""text-align: center""> <strong>goldfish</strong>: small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes</h3>",n01443537.jpeg,# Sam guessed this is **100% goldfish**,n01443537_n01443537_2297_n01443537_100.jpeg,# Is this **goldfish**?,,1,,,,,,,,,,,,,,,,,,,,,,,n01443537_n01443537_2297_n01443537_100.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1614749170226,03/03/2021 05:26:10,1614749169998,0,03/03/2021 05:26:09,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,10,6,2,Screen 2,advancementZone,continue_button,1086.714999999458,,,,,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen a **goldfish** before?,"<h3 style=""text-align: center""> <strong>goldfish</strong>: small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes</h3>",n01443537.jpeg,# Sam guessed this is **100% goldfish**,n01443537_n01443537_2297_n01443537_100.jpeg,# Is this **goldfish**?,,1,,,,,,,,,,,,,,,,,,,,,,,n01443537_n01443537_2297_n01443537_100.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1614749171445,03/03/2021 05:26:11,1614749171223,0,03/03/2021 05:26:11,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,10,6,3,Screen 3,Zone3,response_button_text,1212.6399999997375,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen a **goldfish** before?,"<h3 style=""text-align: center""> <strong>goldfish</strong>: small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes</h3>",n01443537.jpeg,# Sam guessed this is **100% goldfish**,n01443537_n01443537_2297_n01443537_100.jpeg,# Is this **goldfish**?,,1,,,,,,,,,,,,,,,,,,,,,,,n01443537_n01443537_2297_n01443537_100.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1614749172588,03/03/2021 05:26:12,1614749172367,0,03/03/2021 05:26:12,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,11,7,1,Screen 1,buttonA,response_button_text,1120.6849999998667,,,Yes,1,0,1,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen a **flute** before?,"<h3 style=""text-align: center""> <strong>flute</strong>: a high-pitched woodwind instrument</h3>",n03372029.jpeg,# Sam guessed this is **22% flute**,n03372029_n03483316_17467_n03483316_22.jpeg,# Is this **flute**?,,1,,,,,,,,,,,,,,,,,,,,,,,n03372029_n03483316_17467_n03483316_22.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1614749173544,03/03/2021 05:26:13,1614749173318,0,03/03/2021 05:26:13,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,11,7,2,Screen 2,advancementZone,continue_button,940.7699999992474,,,,,0,1,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen a **flute** before?,"<h3 style=""text-align: center""> <strong>flute</strong>: a high-pitched woodwind instrument</h3>",n03372029.jpeg,# Sam guessed this is **22% flute**,n03372029_n03483316_17467_n03483316_22.jpeg,# Is this **flute**?,,1,,,,,,,,,,,,,,,,,,,,,,,n03372029_n03483316_17467_n03483316_22.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1614749175674,03/03/2021 05:26:15,1614749175447,0,03/03/2021 05:26:15,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,11,7,3,Screen 3,Zone5,response_button_text,2118.9250000006723,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen a **flute** before?,"<h3 style=""text-align: center""> <strong>flute</strong>: a high-pitched woodwind instrument</h3>",n03372029.jpeg,# Sam guessed this is **22% flute**,n03372029_n03483316_17467_n03483316_22.jpeg,# Is this **flute**?,,1,,,,,,,,,,,,,,,,,,,,,,,n03372029_n03483316_17467_n03483316_22.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1614749176983,03/03/2021 05:26:16,1614749176767,0,03/03/2021 05:26:16,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,12,8,1,Screen 1,buttonA,response_button_text,1302.605000000738,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen an **ostrich** before?,"<h3 style=""text-align: center""> <strong>ostrich</strong>: fast-running African flightless bird with two-toed feet</h3>",n01518878.jpeg,# Sam guessed this is **99% ostrich**,n01518878_n01518878_4968_n01518878_99.jpeg,# Is this **ostrich**?,,1,,,,,,,,,,,,,,,,,,,,,,,n01518878_n01518878_4968_n01518878_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1614749177789,03/03/2021 05:26:17,1614749177575,0,03/03/2021 05:26:17,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,12,8,2,Screen 2,advancementZone,continue_button,799.6149999999325,,,,,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen an **ostrich** before?,"<h3 style=""text-align: center""> <strong>ostrich</strong>: fast-running African flightless bird with two-toed feet</h3>",n01518878.jpeg,# Sam guessed this is **99% ostrich**,n01518878_n01518878_4968_n01518878_99.jpeg,# Is this **ostrich**?,,1,,,,,,,,,,,,,,,,,,,,,,,n01518878_n01518878_4968_n01518878_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1614749180910,03/03/2021 05:26:20,1614749180679,0,03/03/2021 05:26:20,37087,30,task-34jo,,10563094,5c7427d637793100010f8bff,3214990,,complete,,603f1d2e0ff5a80943815947,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x975,,Natural_NNs_Val,3,NNs,,,,,9,,Qualified,Input,Input,12,8,3,Screen 3,Zone3,response_button_text,3094.1700000002747,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,# Have you ever seen an **ostrich** before?,"<h3 style=""text-align: center""> <strong>ostrich</strong>: fast-running African flightless bird with two-toed feet</h3>",n01518878.jpeg,# Sam guessed this is **99% ostrich**,n01518878_n01518878_4968_n01518878_99.jpeg,# Is this **ostrich**?,,1,,,,,,,,,,,,,,,,,,,,,,,n01518878_n01518878_4968_n01518878_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
