Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,Randomise questionnaire elements?,Question Key,Response
1,1614183418781,24/02/2021 16:16:58,1614183418669,0,24/02/2021 16:16:58,38788,18,questionnaire-9g37,,10336883,5ca110525166ee0014ffc71e,3144618,,complete,,60367bec391d40c6592bdd25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Generic Consent,1,Conf,14,,,,,No,BEGIN QUESTIONNAIRE,
2,1614183431266,24/02/2021 16:17:11,1614183431203,0,24/02/2021 16:17:11,38788,18,questionnaire-9g37,,10336883,5ca110525166ee0014ffc71e,3144618,,complete,,60367bec391d40c6592bdd25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Generic Consent,1,Conf,14,,,,,No,ConsentFlag,1
3,1614183431359,24/02/2021 16:17:11,1614183431206,0,24/02/2021 16:17:11,38788,18,questionnaire-9g37,,10336883,5ca110525166ee0014ffc71e,3144618,,complete,,60367bec391d40c6592bdd25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Generic Consent,1,Conf,14,,,,,No,END QUESTIONNAIRE,12537
1,1614183522992,24/02/2021 16:18:42,1614183521248,0,24/02/2021 16:18:41,38788,18,questionnaire-9g37,,10337002,6022ef855bdc2a1094d22848,3144656,,complete,,60367c4e06110e5fdd67b716,computer,Desktop or Laptop,Mac OS 11.2.0,Chrome 88.0.4324.192,1920x1080,1652x813,,Generic Consent,1,NNs,,,,,12,No,BEGIN QUESTIONNAIRE,
2,1614183534880,24/02/2021 16:18:54,1614183533168,0,24/02/2021 16:18:53,38788,18,questionnaire-9g37,,10337002,6022ef855bdc2a1094d22848,3144656,,complete,,60367c4e06110e5fdd67b716,computer,Desktop or Laptop,Mac OS 11.2.0,Chrome 88.0.4324.192,1920x1080,1652x813,,Generic Consent,1,NNs,,,,,12,No,ConsentFlag,1
3,1614183534960,24/02/2021 16:18:54,1614183533170,0,24/02/2021 16:18:53,38788,18,questionnaire-9g37,,10337002,6022ef855bdc2a1094d22848,3144656,,complete,,60367c4e06110e5fdd67b716,computer,Desktop or Laptop,Mac OS 11.2.0,Chrome 88.0.4324.192,1920x1080,1652x813,,Generic Consent,1,NNs,,,,,12,No,END QUESTIONNAIRE,11922
1,1614183668649,24/02/2021 16:21:08,1614183668604,0,24/02/2021 16:21:08,38788,18,questionnaire-9g37,,10337157,5768032426ed5300019fff4e,3144695,,complete,,60367cdde6b13372630d55e3,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 88.0.4324.192,1440x900,1287x691,,Generic Consent,1,GradCAM,,2,,,,No,BEGIN QUESTIONNAIRE,
2,1614183672103,24/02/2021 16:21:12,1614183671842,0,24/02/2021 16:21:11,38788,18,questionnaire-9g37,,10337157,5768032426ed5300019fff4e,3144695,,complete,,60367cdde6b13372630d55e3,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 88.0.4324.192,1440x900,1287x691,,Generic Consent,1,GradCAM,,2,,,,No,ConsentFlag,1
3,1614183672353,24/02/2021 16:21:12,1614183671844,0,24/02/2021 16:21:11,38788,18,questionnaire-9g37,,10337157,5768032426ed5300019fff4e,3144695,,complete,,60367cdde6b13372630d55e3,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 88.0.4324.192,1440x900,1287x691,,Generic Consent,1,GradCAM,,2,,,,No,END QUESTIONNAIRE,3241
1,1614183731382,24/02/2021 16:22:11,1614183732118,-5,24/02/2021 11:22:12,38788,18,questionnaire-9g37,,10337220,603481d385a4ce2992991524,3144708,,complete,,60367d26758564162abcffdb,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1280x630,,Generic Consent,1,SOD,,,,15,,No,BEGIN QUESTIONNAIRE,
