Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,counterbalance-ao9d,Spreadsheet,didyouknow,definition,sampleimages,question,SAMguessed,visualization,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Response1,Response2,Response3,Response4,image1,training,intro1,intro2,intro3,train_conf1,green_tick,ANSWER1,next,go,cross_mark,ANSWER2,train_conf2,train_conf3,ANSWER3,train_conf4,ANSWER4,train_conf5,ANSWER5,didyouknow,definition,sampleimages,SAMguessed,visualization,question,test,ShowProgressBar,image0,black_arrow,black_arrow3,black_arrow4,black_arrow2,arrow_beam,answer,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,file_name,file_name1,file_name2,file_name3,file_name4,file_name5,file_name6,file_name7,file_name8,file_name9,file_name10,file_name11,file_name12,file_name13,file_name14,file_name15,didyouknow1,didyouknow2,didyouknow3,didyouknow4,didyouknow5,didyouknow6,didyouknow7,didyouknow8,didyouknow9,didyouknow10,didyouknow11,didyouknow12,didyouknow13,didyouknow14,didyouknow15,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,definition13,definition14,definition15,sampleimages1,sampleimages2,sampleimages3,sampleimages4,sampleimages5,sampleimages6,sampleimages7,sampleimages8,sampleimages9,sampleimages10,sampleimages11,sampleimages12,sampleimages13,sampleimages14,sampleimages15,SAMguessed1,SAMguessed2,SAMguessed3,SAMguessed4,SAMguessed5,SAMguessed6,SAMguessed7,SAMguessed8,SAMguessed9,SAMguessed10,SAMguessed11,SAMguessed12,SAMguessed13,SAMguessed14,SAMguessed15,visualization1,visualization2,visualization3,visualization4,visualization5,visualization6,visualization7,visualization8,visualization9,visualization10,visualization11,visualization12,visualization13,visualization14,visualization15,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15
11,1615835608139,15/03/2021 19:13:28,1615835608216,-5,15/03/2021 14:13:28,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,2,1,5,Screen 4,advancementZone,continue_button,6193.024999985937,,,,,0,1,0,,,,,,Introduction,Previous,,,,,natural_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1615835616385,15/03/2021 19:13:36,1615835616455,-5,15/03/2021 14:13:36,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,3,1,1,Screen 1,Zone1,continue_keyboard,8213.530000008177,,,,,0,1,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,balloon_43_balloon.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,No,pillow_8_laptop.jpeg,banana_79_banana.jpeg,Yes,lemon_92_ping-pong ball.jpeg,No,chain saw_99_chain saw.jpeg,Yes,,,,,,,,,,black_arrow1.jpg,black_arrow3.jpg,black_arrow4.jpg,black_arrow2.JPG,arrow_beam.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1615835629816,15/03/2021 19:13:49,1615835629890,-5,15/03/2021 14:13:49,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,3,1,2,Screen 2,advancementZone,response_button_text,13428.119999996852,,,Yes,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,balloon_43_balloon.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,No,pillow_8_laptop.jpeg,banana_79_banana.jpeg,Yes,lemon_92_ping-pong ball.jpeg,No,chain saw_99_chain saw.jpeg,Yes,,,,,,,,,,black_arrow1.jpg,black_arrow3.jpg,black_arrow4.jpg,black_arrow2.JPG,arrow_beam.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1615835631244,15/03/2021 19:13:51,1615835631323,-5,15/03/2021 14:13:51,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,3,1,3,Correct1,Zone3,response_button_text,1423.7399999983609,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,balloon_43_balloon.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,No,pillow_8_laptop.jpeg,banana_79_banana.jpeg,Yes,lemon_92_ping-pong ball.jpeg,No,chain saw_99_chain saw.jpeg,Yes,,,,,,,,,,black_arrow1.jpg,black_arrow3.jpg,black_arrow4.jpg,black_arrow2.JPG,arrow_beam.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1615835639968,15/03/2021 19:13:59,1615835640032,-5,15/03/2021 14:14:00,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,3,1,5,Screen 3,Zone5,response_button_text,8704.185000038706,,,No,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,balloon_43_balloon.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,No,pillow_8_laptop.jpeg,banana_79_banana.jpeg,Yes,lemon_92_ping-pong ball.jpeg,No,chain saw_99_chain saw.jpeg,Yes,,,,,,,,,,black_arrow1.jpg,black_arrow3.jpg,black_arrow4.jpg,black_arrow2.JPG,arrow_beam.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1615835641078,15/03/2021 19:14:01,1615835641150,-5,15/03/2021 14:14:01,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,3,1,6,Correct2,Zone3,response_button_text,1110.0749999750406,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,balloon_43_balloon.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,No,pillow_8_laptop.jpeg,banana_79_banana.jpeg,Yes,lemon_92_ping-pong ball.jpeg,No,chain saw_99_chain saw.jpeg,Yes,,,,,,,,,,black_arrow1.jpg,black_arrow3.jpg,black_arrow4.jpg,black_arrow2.JPG,arrow_beam.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1615835644366,15/03/2021 19:14:04,1615835644451,-5,15/03/2021 14:14:04,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,3,1,8,Screen 4,advancementZone,response_button_text,3296.4149999897927,,,Yes,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,balloon_43_balloon.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,No,pillow_8_laptop.jpeg,banana_79_banana.jpeg,Yes,lemon_92_ping-pong ball.jpeg,No,chain saw_99_chain saw.jpeg,Yes,,,,,,,,,,black_arrow1.jpg,black_arrow3.jpg,black_arrow4.jpg,black_arrow2.JPG,arrow_beam.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1615835645132,15/03/2021 19:14:05,1615835645199,-5,15/03/2021 14:14:05,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,3,1,9,Correct3,Zone3,response_button_text,740.7949999906123,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,balloon_43_balloon.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,No,pillow_8_laptop.jpeg,banana_79_banana.jpeg,Yes,lemon_92_ping-pong ball.jpeg,No,chain saw_99_chain saw.jpeg,Yes,,,,,,,,,,black_arrow1.jpg,black_arrow3.jpg,black_arrow4.jpg,black_arrow2.JPG,arrow_beam.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1615835652685,15/03/2021 19:14:12,1615835652760,-5,15/03/2021 14:14:12,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,3,1,11,Screen 5,Zone5,response_button_text,7554.985000053421,,,No,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,balloon_43_balloon.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,No,pillow_8_laptop.jpeg,banana_79_banana.jpeg,Yes,lemon_92_ping-pong ball.jpeg,No,chain saw_99_chain saw.jpeg,Yes,,,,,,,,,,black_arrow1.jpg,black_arrow3.jpg,black_arrow4.jpg,black_arrow2.JPG,arrow_beam.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1615835653483,15/03/2021 19:14:13,1615835653561,-5,15/03/2021 14:14:13,45279,3,task-twi6,,11002512,au012,3346228,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,2048x1152,2048x1010,,Natural_NNs,42,3,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,3,1,12,Correct4,Zone3,response_button_text,793.8350000185892,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,balloon_43_balloon.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,No,pillow_8_laptop.jpeg,banana_79_banana.jpeg,Yes,lemon_92_ping-pong ball.jpeg,No,chain saw_99_chain saw.jpeg,Yes,,,,,,,,,,black_arrow1.jpg,black_arrow3.jpg,black_arrow4.jpg,black_arrow2.JPG,arrow_beam.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
