Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,Randomise questionnaire elements?,Question Key,Response
2,1614184012235,24/02/2021 16:26:52,1614184012195,0,24/02/2021 16:26:52,37087,25,questionnaire-9g37,,10337563,5ef235108343cb06184dd669,3144772,,complete,,60367e199b8fb3585a0caac9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 88.0.4324.150,1440x900,1252x729,,Generic Consent,1,Conf,6,,,,,No,ConsentFlag,1
3,1614184012315,24/02/2021 16:26:52,1614184012197,0,24/02/2021 16:26:52,37087,25,questionnaire-9g37,,10337563,5ef235108343cb06184dd669,3144772,,complete,,60367e199b8fb3585a0caac9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 88.0.4324.150,1440x900,1252x729,,Generic Consent,1,Conf,6,,,,,No,END QUESTIONNAIRE,13656
1,1614184119953,24/02/2021 16:28:39,1614184119908,0,24/02/2021 16:28:39,37087,25,questionnaire-9g37,,10337674,5768032426ed5300019fff4e,3144806,,complete,,60367eac4471d799c263f46b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 88.0.4324.192,1440x900,1287x691,,Generic Consent,1,EP,,,4,,,No,BEGIN QUESTIONNAIRE,
2,1614184123188,24/02/2021 16:28:43,1614184122987,0,24/02/2021 16:28:42,37087,25,questionnaire-9g37,,10337674,5768032426ed5300019fff4e,3144806,,complete,,60367eac4471d799c263f46b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 88.0.4324.192,1440x900,1287x691,,Generic Consent,1,EP,,,4,,,No,ConsentFlag,1
3,1614184123297,24/02/2021 16:28:43,1614184122989,0,24/02/2021 16:28:42,37087,25,questionnaire-9g37,,10337674,5768032426ed5300019fff4e,3144806,,complete,,60367eac4471d799c263f46b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 88.0.4324.192,1440x900,1287x691,,Generic Consent,1,EP,,,4,,,No,END QUESTIONNAIRE,3081
1,1614184177899,24/02/2021 16:29:37,1614184179265,-7,24/02/2021 09:29:39,37087,25,questionnaire-9g37,,10337733,5eb0d53bbf6e001a107724aa,3144822,,complete,,60367ed29501726871788318,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Generic Consent,1,GradCAM,,15,,,,No,BEGIN QUESTIONNAIRE,
2,1614184202270,24/02/2021 16:30:02,1614184203782,-7,24/02/2021 09:30:03,37087,25,questionnaire-9g37,,10337733,5eb0d53bbf6e001a107724aa,3144822,,complete,,60367ed29501726871788318,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Generic Consent,1,GradCAM,,15,,,,No,ConsentFlag,1
3,1614184202590,24/02/2021 16:30:02,1614184203783,-7,24/02/2021 09:30:03,37087,25,questionnaire-9g37,,10337733,5eb0d53bbf6e001a107724aa,3144822,,complete,,60367ed29501726871788318,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Generic Consent,1,GradCAM,,15,,,,No,END QUESTIONNAIRE,24518
1,1614184245146,24/02/2021 16:30:45,1614184244749,0,24/02/2021 16:30:44,37087,25,questionnaire-9g37,,10337797,5eeca5684d261e029dc822e2,3144840,,complete,,60367f2dc6f7e0db0a1e2279,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Generic Consent,1,SOD,,,,4,,No,BEGIN QUESTIONNAIRE,
2,1614184247196,24/02/2021 16:30:47,1614184246824,0,24/02/2021 16:30:46,37087,25,questionnaire-9g37,,10337797,5eeca5684d261e029dc822e2,3144840,,complete,,60367f2dc6f7e0db0a1e2279,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Generic Consent,1,SOD,,,,4,,No,ConsentFlag,1
3,1614184247279,24/02/2021 16:30:47,1614184246825,0,24/02/2021 16:30:46,37087,25,questionnaire-9g37,,10337797,5eeca5684d261e029dc822e2,3144840,,complete,,60367f2dc6f7e0db0a1e2279,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Generic Consent,1,SOD,,,,4,,No,END QUESTIONNAIRE,2076
1,1614184256333,24/02/2021 16:30:56,1614184302235,0,24/02/2021 16:31:42,37087,25,questionnaire-9g37,,10337809,5d8ddeb79485840019d5a475,3144844,,complete,,60367f340e7b2d0c54d53032,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Generic Consent,1,SOD,,,,11,,No,BEGIN QUESTIONNAIRE,
2,1614184259098,24/02/2021 16:30:59,1614184305055,0,24/02/2021 16:31:45,37087,25,questionnaire-9g37,,10337809,5d8ddeb79485840019d5a475,3144844,,complete,,60367f340e7b2d0c54d53032,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Generic Consent,1,SOD,,,,11,,No,ConsentFlag,1
3,1614184259200,24/02/2021 16:30:59,1614184305058,0,24/02/2021 16:31:45,37087,25,questionnaire-9g37,,10337809,5d8ddeb79485840019d5a475,3144844,,complete,,60367f340e7b2d0c54d53032,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Generic Consent,1,SOD,,,,11,,No,END QUESTIONNAIRE,2823
1,1614184299527,24/02/2021 16:31:39,1614184303193,0,24/02/2021 16:31:43,37087,25,questionnaire-9g37,,10337864,5e1335206aab7c96df461666,3144907,,complete,,60367f4ae77bf73055d5ee07,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x800,1280x689,,Generic Consent,1,EP,,,15,,,No,BEGIN QUESTIONNAIRE,
2,1614184310012,24/02/2021 16:31:50,1614184313580,0,24/02/2021 16:31:53,37087,25,questionnaire-9g37,,10337864,5e1335206aab7c96df461666,3144907,,complete,,60367f4ae77bf73055d5ee07,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x800,1280x689,,Generic Consent,1,EP,,,15,,,No,ConsentFlag,1
3,1614184310137,24/02/2021 16:31:50,1614184313585,0,24/02/2021 16:31:53,37087,25,questionnaire-9g37,,10337864,5e1335206aab7c96df461666,3144907,,complete,,60367f4ae77bf73055d5ee07,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x800,1280x689,,Generic Consent,1,EP,,,15,,,No,END QUESTIONNAIRE,10393
1,1614184304423,24/02/2021 16:31:44,1614184302774,-5,24/02/2021 11:31:42,37087,25,questionnaire-9g37,,10337872,5eeede4c6ee5493a05b26967,3144948,,complete,,60367f60e8eab9e23f2a1220,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1280x800,1280x590,,Generic Consent,1,Conf,12,,,,,No,BEGIN QUESTIONNAIRE,
2,1614184307301,24/02/2021 16:31:47,1614184305674,-5,24/02/2021 11:31:45,37087,25,questionnaire-9g37,,10337872,5eeede4c6ee5493a05b26967,3144948,,complete,,60367f60e8eab9e23f2a1220,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1280x800,1280x590,,Generic Consent,1,Conf,12,,,,,No,ConsentFlag,1
3,1614184307489,24/02/2021 16:31:47,1614184305676,-5,24/02/2021 11:31:45,37087,25,questionnaire-9g37,,10337872,5eeede4c6ee5493a05b26967,3144948,,complete,,60367f60e8eab9e23f2a1220,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1280x800,1280x590,,Generic Consent,1,Conf,12,,,,,No,END QUESTIONNAIRE,2902
1,1614184325034,24/02/2021 16:32:05,1614184329042,0,24/02/2021 16:32:09,37087,25,questionnaire-9g37,,10337887,5fbe86b6984a030009733f29,3144954,,complete,,60367f7370b3671a28ab3706,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 88.0.4324.146,1440x900,1440x711,,Generic Consent,1,GradCAM,,5,,,,No,BEGIN QUESTIONNAIRE,
2,1614184331124,24/02/2021 16:32:11,1614184335342,0,24/02/2021 16:32:15,37087,25,questionnaire-9g37,,10337887,5fbe86b6984a030009733f29,3144954,,complete,,60367f7370b3671a28ab3706,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 88.0.4324.146,1440x900,1440x711,,Generic Consent,1,GradCAM,,5,,,,No,ConsentFlag,1
