Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,branch-4fbe,branch-ziux,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Response1,Response2,Response3,Response4,image1,training,intro1,intro2,intro3,train_conf1,green_tick,ANSWER1,next,go,cross_mark,train_conf2,train_conf3,train_conf4,train_conf5,didyouknow,definition,sampleimages,question,test,ANSWER2,ANSWER3,ANSWER4,ANSWER5,visualization,SAMguessed,ShowProgressBar,image0,black_arrow,black_arrow2,arrow_beam,black_arrow3,black_arrow4,answer,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,file_name,file_name1,file_name2,file_name3,file_name4,file_name5,file_name6,file_name7,file_name8,file_name9,file_name10,file_name11,file_name12,file_name13,file_name14,file_name15,didyouknow1,didyouknow2,didyouknow3,didyouknow4,didyouknow5,didyouknow6,didyouknow7,didyouknow8,didyouknow9,didyouknow10,didyouknow11,didyouknow12,didyouknow13,didyouknow14,didyouknow15,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,definition13,definition14,definition15,sampleimages1,sampleimages2,sampleimages3,sampleimages4,sampleimages5,sampleimages6,sampleimages7,sampleimages8,sampleimages9,sampleimages10,sampleimages11,sampleimages12,sampleimages13,sampleimages14,sampleimages15,SAMguessed1,SAMguessed2,SAMguessed3,SAMguessed4,SAMguessed5,SAMguessed6,SAMguessed7,SAMguessed8,SAMguessed9,SAMguessed10,SAMguessed11,SAMguessed12,SAMguessed13,SAMguessed14,SAMguessed15,visualization1,visualization2,visualization3,visualization4,visualization5,visualization6,visualization7,visualization8,visualization9,visualization10,visualization11,visualization12,visualization13,visualization14,visualization15,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15
16,1614749932346,03/03/2021 05:38:52,1614749932101,-8,02/03/2021 21:38:52,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,3,1,7,Wrong2,Zone3,response_button_text,4172.5500000011525,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1614749937434,03/03/2021 05:38:57,1614749937199,-8,02/03/2021 21:38:57,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,3,1,8,Screen 4,advancementZone,response_button_text,5063.710000000341,,,Yes,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1614749939546,03/03/2021 05:38:59,1614749939350,-8,02/03/2021 21:38:59,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,3,1,9,Correct3,Zone3,response_button_text,2109.5249999998487,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1614749942277,03/03/2021 05:39:02,1614749942083,-8,02/03/2021 21:39:02,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,3,1,11,Screen 5,Zone5,response_button_text,2701.404999999795,,,No,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1614749944144,03/03/2021 05:39:04,1614749943912,-8,02/03/2021 21:39:03,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,3,1,12,Correct4,Zone3,response_button_text,1790.6449999991164,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1614749947364,03/03/2021 05:39:07,1614749947208,-8,02/03/2021 21:39:07,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,3,1,14,Screen 6,advancementZone,response_button_text,3261.294999998412,,,Yes,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1614749948997,03/03/2021 05:39:08,1614749948846,-8,02/03/2021 21:39:08,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,3,1,15,Correct5,Zone3,response_button_text,1596.9249999998137,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1614749950864,03/03/2021 05:39:10,1614749950692,-8,02/03/2021 21:39:10,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,3,1,17,End of Training,Zone1,continue_keyboard,1814.9600000015344,,,,,0,1,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1614749971499,03/03/2021 05:39:31,1614749971338,-8,02/03/2021 21:39:31,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,4,1,1,Screen 1,Zone1,continue_keyboard,20582.08999999985,,,,,0,1,0,,,,,,Test Entry,,,,,,,,,,,,,,,,,,,,,,,,,test.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1614749982282,03/03/2021 05:39:42,1614749982131,-8,02/03/2021 21:39:42,38788,24,task-w7x5,,10563281,5c5e179b7b0a16000116f177,3215786,,complete,,603f1f1e960cdb09f87e280b,computer,Desktop or Laptop,Linux x86_64,Chrome 89.0.4389.72,1366x768,1366x768,,Dog_NNs_Val,2,NNs,,,,,3,,Qualified,Input,Input,4,1,2,Screen 2,Zone1,continue_button,10763.409999999567,,,,,0,1,0,,,,,,Test Entry,,,,,,,,,,,,,,,,,,,,,,,,,test.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
