Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,branch-4fbe,branch-ziux,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Response1,Response2,Response3,Response4,image1,training,intro1,intro2,intro3,train_conf1,green_tick,ANSWER1,next,go,cross_mark,train_conf2,train_conf3,train_conf4,train_conf5,didyouknow,definition,sampleimages,question,test,ANSWER2,ANSWER3,ANSWER4,ANSWER5,visualization,SAMguessed,ShowProgressBar,image0,black_arrow,black_arrow2,arrow_beam,black_arrow3,black_arrow4,answer,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,file_name,file_name1,file_name2,file_name3,file_name4,file_name5,file_name6,file_name7,file_name8,file_name9,file_name10,file_name11,file_name12,file_name13,file_name14,file_name15,didyouknow1,didyouknow2,didyouknow3,didyouknow4,didyouknow5,didyouknow6,didyouknow7,didyouknow8,didyouknow9,didyouknow10,didyouknow11,didyouknow12,didyouknow13,didyouknow14,didyouknow15,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,definition13,definition14,definition15,sampleimages1,sampleimages2,sampleimages3,sampleimages4,sampleimages5,sampleimages6,sampleimages7,sampleimages8,sampleimages9,sampleimages10,sampleimages11,sampleimages12,sampleimages13,sampleimages14,sampleimages15,SAMguessed1,SAMguessed2,SAMguessed3,SAMguessed4,SAMguessed5,SAMguessed6,SAMguessed7,SAMguessed8,SAMguessed9,SAMguessed10,SAMguessed11,SAMguessed12,SAMguessed13,SAMguessed14,SAMguessed15,visualization1,visualization2,visualization3,visualization4,visualization5,visualization6,visualization7,visualization8,visualization9,visualization10,visualization11,visualization12,visualization13,visualization14,visualization15,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15
1,1614747039414,03/03/2021 04:50:39,1614747039380,-8,02/03/2021 20:50:39,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614747047149,03/03/2021 04:50:47,1614747046696,-8,02/03/2021 20:50:46,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,1,1,1,Screen 1,advancementZone,continue_button,5636.664999998175,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614747055505,03/03/2021 04:50:55,1614747055030,-8,02/03/2021 20:50:55,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,1,1,2,Screen 2,advancementZone,continue_button,8320.62000001315,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1614747056487,03/03/2021 04:50:56,1614747056525,-8,02/03/2021 20:50:56,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,1,1,3,Screen 3,advancementZone,continue_button,1483.8549999985844,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1614747057518,03/03/2021 04:50:57,1614747057548,-8,02/03/2021 20:50:57,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,1,1,4,Screen 4,advancementZone,continue_button,1014.229999971576,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1614747058393,03/03/2021 04:50:58,1614747058425,-8,02/03/2021 20:50:58,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,1,1,5,Screen 5,advancementZone,continue_button,870.4900000011548,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1614747060428,03/03/2021 04:51:00,1614747060464,-8,02/03/2021 20:51:00,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,2,1,1,Screen 1,advancementZone,continue_button,1926.439999951981,,,,,0,1,0,,,,,,Introduction,Previous,,,,,dog_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1614747064187,03/03/2021 04:51:04,1614747063252,-8,02/03/2021 20:51:03,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,2,1,2,Imagenet,advancementZone,continue_button,2770.3899999614805,,,,,0,1,0,,,,,,Introduction,Previous,,,,,dog_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1614747066188,03/03/2021 04:51:06,1614747066211,-8,02/03/2021 20:51:06,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,2,1,3,Screen 2,advancementZone,continue_button,2950.494999997318,,,,,0,1,0,,,,,,Introduction,Previous,,,,,dog_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1614747069105,03/03/2021 04:51:09,1614747067764,-8,02/03/2021 20:51:07,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,2,1,4,Screen 3,advancementZone,continue_button,1538.74500002712,,,,,0,1,0,,,,,,Introduction,Previous,,,,,dog_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1614747069621,03/03/2021 04:51:09,1614747069124,-8,02/03/2021 20:51:09,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,2,1,5,Screen 4,advancementZone,continue_button,1349.404999986291,,,,,0,1,0,,,,,,Introduction,Previous,,,,,dog_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1614747079968,03/03/2021 04:51:19,1614747079157,-8,02/03/2021 20:51:19,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,,,,,,,,LOADING DELAY,,,A loading delay of more than 10s was detected.,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1614747092556,03/03/2021 04:51:32,1614747091573,-8,02/03/2021 20:51:31,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,1,Screen 1,Zone1,continue_keyboard,3040.9600000130013,,,,,0,1,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1614747094647,03/03/2021 04:51:34,1614747094673,-8,02/03/2021 20:51:34,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,2,Screen 2,advancementZone,response_button_text,3084.2199999606237,,,Yes,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1614747097225,03/03/2021 04:51:37,1614747097250,-8,02/03/2021 20:51:37,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,3,Correct1,Zone3,response_button_text,2556.1699999962,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1614747098506,03/03/2021 04:51:38,1614747098441,-8,02/03/2021 20:51:38,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,5,Screen 3,advancementZone,response_button_text,1178.9799999678507,,,Yes,1,0,1,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1614747099255,03/03/2021 04:51:39,1614747099285,-8,02/03/2021 20:51:39,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,7,Wrong2,Zone3,response_button_text,827.7900000102818,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1614747101637,03/03/2021 04:51:41,1614747101659,-8,02/03/2021 20:51:41,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,8,Screen 4,advancementZone,response_button_text,2358.350000111386,,,Yes,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1614747102324,03/03/2021 04:51:42,1614747102357,-8,02/03/2021 20:51:42,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,9,Correct3,Zone3,response_button_text,682.5599999865517,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1614747104721,03/03/2021 04:51:44,1614747103856,-8,02/03/2021 20:51:43,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,11,Screen 5,Zone5,response_button_text,1466.924999956973,,,No,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1614747105002,03/03/2021 04:51:45,1614747104809,-8,02/03/2021 20:51:44,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,12,Correct4,Zone3,response_button_text,914.820000063628,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1614747109959,03/03/2021 04:51:49,1614747108792,-8,02/03/2021 20:51:48,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,14,Screen 6,advancementZone,response_button_text,3971.4099999982864,,,Yes,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1614747111383,03/03/2021 04:51:51,1614747109829,-8,02/03/2021 20:51:49,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,15,Correct5,Zone3,response_button_text,1022.2350000403821,,,Continue,1,1,0,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1614747112505,03/03/2021 04:51:52,1614747111480,-8,02/03/2021 20:51:51,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,3,1,17,End of Training,Zone1,continue_keyboard,1641.635000007227,,,,,0,1,0,,,,,,Training,,Yes,No,Yes,No,,training.png,,,,yorkshire terrier_98_yorkshire terrier.jpeg,green_tick.jpg,Yes,Continue,Continue,cross_mark.jpg,labrador retriever_33_golden retriever.jpeg,rottweiler_54_rottweiler.jpeg,siberian husky_76_malamute.jpeg,shetland sheepdog_19_shetland sheepdog.jpeg,,,,,,No,Yes,No,Yes,,,,,black_arrow1.jpg,black_arrow2.JPG,arrow_beam.jpg,black_arrow3.jpg,black_arrow4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1614747114332,03/03/2021 04:51:54,1614747114217,-8,02/03/2021 20:51:54,38788,24,task-w7x5,,10562747,5f4c17256e656770da1ff9ee,3213018,,complete,,603f158d6ba69e097c8a490d,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.72,1920x1080,1839x1009,,Dog_NNs_Val,2,NNs,,,,,8,,Qualified,Input,Input,4,1,1,Screen 1,Zone1,continue_keyboard,2708.985000033863,,,,,0,1,0,,,,,,Test Entry,,,,,,,,,,,,,,,,,,,,,,,,,test.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
