Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,branch-4fbe,branch-ziux,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Response1,Response2,Response3,Response4,image1,training,intro1,intro2,intro3,train_conf1,green_tick,ANSWER1,next,go,cross_mark,train_conf2,train_conf3,train_conf4,train_conf5,didyouknow,definition,sampleimages,question,test,ANSWER2,ANSWER3,ANSWER4,ANSWER5,SAMguessed,visualization,ShowProgressBar,image0,black_arrow,black_arrow2,arrow_beam,black_arrow3,black_arrow4,answer,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,file_name,file_name1,file_name2,file_name3,file_name4,file_name5,file_name6,file_name7,file_name8,file_name9,file_name10,file_name11,file_name12,file_name13,file_name14,file_name15,didyouknow1,didyouknow2,didyouknow3,didyouknow4,didyouknow5,didyouknow6,didyouknow7,didyouknow8,didyouknow9,didyouknow10,didyouknow11,didyouknow12,didyouknow13,didyouknow14,didyouknow15,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,definition13,definition14,definition15,sampleimages1,sampleimages2,sampleimages3,sampleimages4,sampleimages5,sampleimages6,sampleimages7,sampleimages8,sampleimages9,sampleimages10,sampleimages11,sampleimages12,sampleimages13,sampleimages14,sampleimages15,SAMguessed1,SAMguessed2,SAMguessed3,SAMguessed4,SAMguessed5,SAMguessed6,SAMguessed7,SAMguessed8,SAMguessed9,SAMguessed10,SAMguessed11,SAMguessed12,SAMguessed13,SAMguessed14,SAMguessed15,visualization1,visualization2,visualization3,visualization4,visualization5,visualization6,visualization7,visualization8,visualization9,visualization10,visualization11,visualization12,visualization13,visualization14,visualization15,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15
33,1614749986582,03/03/2021 05:39:46,1614749986385,0,03/03/2021 05:39:46,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,7,3,2,Screen 2,advancementZone,continue_button,2471.780000021681,,,,,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen an **african hunting dog** before?,"<h3 style=""text-align: center""> <strong>african hunting dog</strong>: a powerful doglike mammal of southern and eastern Africa that hunts in large packs</h3>",n02116738.jpeg,# Is this **african hunting dog**?,,,,,,# Sam guessed this is **99% african hunting dog**,n02116738_n02116738_7988_n02116738_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02116738_n02116738_7988_n02116738_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1614749988181,03/03/2021 05:39:48,1614749987982,0,03/03/2021 05:39:47,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,7,3,3,Screen 3,Zone3,response_button_text,1584.2849998734891,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen an **african hunting dog** before?,"<h3 style=""text-align: center""> <strong>african hunting dog</strong>: a powerful doglike mammal of southern and eastern Africa that hunts in large packs</h3>",n02116738.jpeg,# Is this **african hunting dog**?,,,,,,# Sam guessed this is **99% african hunting dog**,n02116738_n02116738_7988_n02116738_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02116738_n02116738_7988_n02116738_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1614749993246,03/03/2021 05:39:53,1614749993050,0,03/03/2021 05:39:53,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,8,4,1,Screen 1,buttonB,response_button_text,5046.6499999165535,,,No,1,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **rhodesian ridgeback** before?,"<h3 style=""text-align: center""> <strong>rhodesian ridgeback</strong>: a powerful short-haired African hunting dog having a crest of reversed hair along the spine</h3>",n02087394.jpeg,# Is this **rhodesian ridgeback**?,,,,,,# Sam guessed this is **99% rhodesian ridgeback**,n02087394_n02087394_11876_n02087394_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087394_n02087394_11876_n02087394_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1614749995960,03/03/2021 05:39:55,1614749995777,0,03/03/2021 05:39:55,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,8,4,2,Screen 2,advancementZone,continue_button,2712.010000133887,,,,,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **rhodesian ridgeback** before?,"<h3 style=""text-align: center""> <strong>rhodesian ridgeback</strong>: a powerful short-haired African hunting dog having a crest of reversed hair along the spine</h3>",n02087394.jpeg,# Is this **rhodesian ridgeback**?,,,,,,# Sam guessed this is **99% rhodesian ridgeback**,n02087394_n02087394_11876_n02087394_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087394_n02087394_11876_n02087394_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1614749997796,03/03/2021 05:39:57,1614749997619,0,03/03/2021 05:39:57,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,8,4,3,Screen 3,Zone3,response_button_text,1829.7000001184642,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **rhodesian ridgeback** before?,"<h3 style=""text-align: center""> <strong>rhodesian ridgeback</strong>: a powerful short-haired African hunting dog having a crest of reversed hair along the spine</h3>",n02087394.jpeg,# Is this **rhodesian ridgeback**?,,,,,,# Sam guessed this is **99% rhodesian ridgeback**,n02087394_n02087394_11876_n02087394_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087394_n02087394_11876_n02087394_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1614749999281,03/03/2021 05:39:59,1614749999105,0,03/03/2021 05:39:59,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,9,5,1,Screen 1,buttonB,response_button_text,1463.8400000985712,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **walker hound** before?,"<h3 style=""text-align: center""> <strong>walker hound</strong>: an American breed of foxhound</h3>",n02089867.jpeg,# Is this **walker hound**?,,,,,,# Sam guessed this is **59% walker hound**,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1614750002321,03/03/2021 05:40:02,1614750002127,0,03/03/2021 05:40:02,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,9,5,2,Screen 2,advancementZone,continue_button,3008.454999886453,,,,,0,1,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **walker hound** before?,"<h3 style=""text-align: center""> <strong>walker hound</strong>: an American breed of foxhound</h3>",n02089867.jpeg,# Is this **walker hound**?,,,,,,# Sam guessed this is **59% walker hound**,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1614750004865,03/03/2021 05:40:04,1614750004681,0,03/03/2021 05:40:04,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,9,5,3,Screen 3,Zone3,response_button_text,2542.505000019446,,,Yes,1,0,1,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **walker hound** before?,"<h3 style=""text-align: center""> <strong>walker hound</strong>: an American breed of foxhound</h3>",n02089867.jpeg,# Is this **walker hound**?,,,,,,# Sam guessed this is **59% walker hound**,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1614750007101,03/03/2021 05:40:07,1614750006910,0,03/03/2021 05:40:06,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,10,6,1,Screen 1,buttonB,response_button_text,2206.569999922067,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **toy terrier** before?,"<h3 style=""text-align: center""> <strong>toy terrier</strong>: a small active dog</h3>",n02087046.jpeg,# Is this **toy terrier**?,,,,,,# Sam guessed this is **31% toy terrier**,n02087046_n02102177_797_n02102177_218_158_31.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087046_n02102177_797_n02102177_218_158_31.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1614750009658,03/03/2021 05:40:09,1614750009464,0,03/03/2021 05:40:09,38788,24,task-phxr,,10563296,5f9916fd4483cf242c7dc50e,3215796,,complete,,603f1eea3a28f309c97aaf52,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x657,,Dog_SOD_Val,2,SOD,,,,13,,Qualified,,Input,Input,10,6,2,Screen 2,advancementZone,continue_button,2542.230000020936,,,,,0,1,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **toy terrier** before?,"<h3 style=""text-align: center""> <strong>toy terrier</strong>: a small active dog</h3>",n02087046.jpeg,# Is this **toy terrier**?,,,,,,# Sam guessed this is **31% toy terrier**,n02087046_n02102177_797_n02102177_218_158_31.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087046_n02102177_797_n02102177_218_158_31.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
